ENT,Gpob,Cato_2000_T,Cato_2000_H,Cato_2000_M,Cato_2010_T,Cato_2010_H,Cato_2010_M,Cato_2020_T,Cato_2020_H,Cato_2020_M,Ncat_2000_T,Ncat_2000_H,Ncat_2000_M,Ncat_2010_T,Ncat_2010_H,Ncat_2010_M,Ncat_2020_T,Ncat_2020_H,Ncat_2020_M,Nrel_2000_T,Nrel_2000_H,Nrel_2000_M,Nrel_2010_T,Nrel_2010_H,Nrel_2010_M,Nrel_2020_T,Nrel_2020_H,Nrel_2020_M
Mex,Total,0.88758927,0.884866331,0.890156252,0.85107459,0.847143226,0.854787784,0.781165852,0.773160524,0.788741955,0.076925787,0.072167296,0.081411735,0.101825774,0.096394494,0.106955645,0.139556531,0.134345958,0.144487727,0.035484943,0.042966374,0.028432012,0.047099636,0.05646228,0.038256571,0.079277618,0.092493518,0.066770318
Mex,1,0.880758039,0.880185388,0.881344846,0.848342313,0.847786631,0.848914308,0.774695715,0.773682248,0.775736247,0.080999225,0.080467727,0.081543861,0.107511075,0.106970517,0.108067502,0.144158936,0.143504882,0.144830457,0.038242735,0.039346885,0.037111293,0.044146612,0.045242852,0.04301819,0.081145349,0.08281287,0.079433296
Mex,2,0.881963651,0.88100624,0.882944994,0.84907839,0.848032033,0.85015441,0.78089226,0.779151774,0.782685918,0.083855123,0.082077788,0.085676886,0.110579521,0.109222483,0.111975028,0.147654954,0.146744043,0.148593694,0.034181226,0.036915972,0.03137812,0.040342089,0.042745484,0.037870562,0.071452786,0.074104183,0.068720388
Mex,3,0.882922173,0.880414541,0.885343503,0.844823552,0.841743464,0.847908013,0.774796943,0.771064619,0.778611134,0.077948619,0.073575207,0.082171517,0.104266832,0.100788748,0.107749855,0.141592275,0.138502779,0.144749537,0.039129208,0.046010252,0.032484979,0.050909616,0.057467788,0.044342131,0.083610782,0.090432601,0.076639329
Mex,4,0.884880271,0.881413875,0.88800769,0.842096267,0.836888806,0.847021115,0.764324352,0.7562231,0.772283593,0.073641797,0.067973991,0.078755351,0.098036983,0.092288756,0.10347325,0.135163076,0.130123967,0.14011385,0.041477932,0.050612134,0.033236959,0.059866749,0.070822438,0.049505635,0.100512572,0.113652933,0.087602557
Mex,5,0.88743593,0.884548778,0.890030509,0.842406183,0.837071419,0.847293773,0.758807454,0.747486598,0.769528898,0.073285546,0.066720821,0.079185027,0.098302843,0.090848745,0.105132117,0.135106177,0.129013687,0.140876084,0.039278524,0.048730402,0.030784464,0.059290973,0.072079836,0.04757411,0.106086369,0.123499714,0.089595019
Mex,6,0.887612425,0.884404985,0.890503671,0.84533624,0.840764344,0.84947123,0.760735207,0.74826454,0.772270454,0.074884904,0.068271003,0.080846797,0.100843151,0.092904999,0.108022707,0.137415643,0.130449667,0.143859105,0.037502672,0.047324012,0.028649532,0.053820609,0.066330657,0.042506063,0.10184915,0.121285793,0.083870441
Mex,7,0.887580361,0.88414804,0.890697282,0.849825318,0.846422219,0.852937979,0.767916914,0.757519357,0.77751873,0.075997602,0.069321383,0.082060336,0.101658833,0.093484879,0.109135178,0.139609061,0.131965572,0.146667581,0.036422036,0.046530577,0.027242383,0.048515849,0.060092903,0.037926843,0.092474025,0.110515071,0.075813689
Mex,8,0.890020243,0.886854844,0.89294507,0.852540312,0.848201491,0.856507335,0.778472791,0.769849594,0.786357817,0.076414209,0.069272971,0.083012712,0.101734664,0.094310045,0.108523059,0.141609437,0.133790815,0.148758763,0.033565548,0.043872184,0.024042218,0.045725024,0.057488464,0.034969607,0.079917772,0.096359591,0.064883419
Mex,9,0.891334119,0.888207247,0.894228596,0.854180986,0.849866766,0.858099896,0.786728383,0.779405138,0.79348645,0.077153318,0.069368834,0.084359245,0.101743531,0.093709123,0.109041753,0.142101335,0.133630012,0.149918876,0.031512563,0.042423919,0.021412159,0.044075483,0.056424111,0.032858351,0.071170282,0.08696485,0.056594674
Mex,10,0.89602905,0.892820498,0.899035376,0.857981966,0.85318708,0.862302497,0.79370806,0.785508658,0.801079318,0.075466581,0.067829275,0.08262253,0.100155918,0.091250418,0.108180402,0.142508098,0.13383177,0.150308112,0.028504368,0.039350226,0.018342094,0.041862115,0.055562501,0.029517102,0.063783843,0.080659572,0.048612569
Mex,11,0.898415649,0.896078417,0.900593434,0.860432572,0.856416364,0.864132418,0.799213642,0.791232856,0.806369064,0.075027453,0.066377264,0.083087522,0.100676206,0.090631002,0.109930134,0.142185392,0.132980743,0.150438107,0.026556898,0.037544319,0.016319044,0.038891222,0.052952634,0.025937448,0.058600966,0.0757864,0.043192829
Mex,12,0.900615209,0.89715061,0.903759623,0.866161463,0.860916893,0.870874055,0.808314538,0.7988595,0.816641072,0.074167515,0.066718935,0.080927724,0.097720827,0.088793829,0.105742326,0.138375314,0.130177108,0.145595025,0.025217275,0.036130456,0.015312654,0.03611771,0.050289277,0.023383619,0.053310149,0.070963392,0.037763903
Mex,13,0.904763835,0.901599835,0.907566045,0.872690847,0.866983006,0.877794178,0.815792987,0.804892803,0.825390003,0.072526259,0.065428362,0.078812541,0.093984095,0.085577257,0.101500576,0.13636044,0.129567861,0.142340934,0.022709906,0.032971803,0.013621414,0.033325059,0.047439737,0.020705247,0.047846573,0.065539337,0.032269063
Mex,14,0.906635759,0.901579672,0.91117723,0.876647223,0.868997872,0.8833149,0.828567322,0.815707995,0.839784698,0.070949365,0.066308351,0.075118011,0.092220746,0.085839379,0.097783165,0.129223525,0.125114057,0.132808273,0.022414876,0.032111977,0.013704759,0.03113203,0.045162749,0.018901935,0.042209153,0.059177948,0.027407029
Mex,15,0.909542425,0.903280199,0.915220363,0.883930247,0.87586008,0.890937759,0.836939807,0.823809642,0.848454783,0.069208028,0.06622468,0.07191302,0.087952701,0.083172401,0.092103546,0.125279266,0.122707943,0.127534281,0.021249547,0.030495121,0.012866617,0.028117053,0.040967519,0.016958695,0.037780928,0.053482415,0.024010937
Mex,16,0.910080445,0.90051292,0.91789262,0.887824096,0.877693926,0.895920027,0.847259857,0.832028749,0.85950398,0.067808496,0.067679545,0.067913788,0.085072203,0.083050712,0.086687758,0.118029533,0.118286168,0.117823228,0.022111059,0.031807535,0.014193592,0.027103702,0.039255362,0.017392215,0.03471061,0.049685084,0.022672793
